,Word,Embeddings similarity,Neighbours similarity
302,dreadful,0.613125016484,0.343928926697
303,species,0.613058640848,0.424075710948
304,ye,0.612595757848,0.458320892627
305,reign,0.612479007969,0.135033943342
306,flowers,0.612422288034,0.320072456406
307,england,0.612402732914,0.443042375186
308,ship,0.612304088729,0.511659796812
309,later,0.612196614147,0.477975309695
310,family,0.611946134976,0.43812040173
311,filled,0.611690793242,0.338075497726
312,hope,0.611357524868,0.353346325669
313,peine,0.611254456941,0.0
314,conclusion,0.611225845189,0.395114551717
315,enforce,0.611188245112,0.322470650792
316,soul,0.611119232663,0.286977289385
317,stood,0.61111342326,0.502461944414
318,attain,0.611103079766,0.474093971777
319,successful,0.611038018007,0.282697729236
320,west,0.610977685145,0.463650152875
321,my,0.610901286642,0.423786186311
322,realize,0.610654891255,0.607604278157
323,thousands,0.610440305303,0.664341760532
324,thing,0.610338172218,0.552211742898
325,consisted,0.610228931523,0.624369347083
326,twelfth,0.610115295918,0.901832130132
327,eighteenth,0.609973582003,0.86346282536
328,complexity,0.609969691564,0.219218841357
329,inhabitants,0.609884048452,0.510794285051
330,ocean,0.609826253053,0.550109837056
331,painful,0.609364629879,0.36854476958
332,votes,0.609268696161,0.657676636606
333,less,0.609229160772,0.452684657241
334,attempts,0.609125975086,0.62970365713
335,des,0.609070803929,0.0
336,peuple,0.60906474427,0.0
337,obtained,0.608950567562,0.287706900949
338,fleet,0.608829722336,0.283926393235
339,reste,0.608823200712,0.0
340,profitable,0.60866104886,0.302358741594
341,rapid,0.608570761177,0.425680887371
342,question,0.608433301656,0.362305806988
343,support,0.608149516868,0.398118125884
344,placed,0.608125271133,0.206432246776
345,more,0.608043279622,0.481862440176
346,persuade,0.607868758691,0.443877951242
347,beings,0.607811154766,0.41384865103
348,poems,0.607692205652,0.294783303185
349,horses,0.607559009984,0.538175705352
350,university,0.607282717603,0.161392398663
351,wealthy,0.607205460613,0.50315299274
352,enemy,0.607198763172,0.36516669625
353,districts,0.607091179874,0.415718813164
354,front,0.607019166016,0.244902467034
355,voice,0.607000942086,0.377146158593
356,restore,0.606853910891,0.542238353144
357,dinner,0.60681509707,0.545319445025
358,neck,0.606677282741,0.298613892034
359,friends,0.606607657263,0.463306844921
360,priest,0.606554522392,0.251024022563
361,perhaps,0.606496022445,0.505303629382
362,unto,0.60640697706,0.407156035439
363,cent,0.606333684217,0.483194521765
364,cases,0.606252284966,0.212525405935
365,eat,0.606237320944,0.477302901346
366,française,0.6061985033,0.0
367,uterus,0.606155628043,0.405981159505
368,ought,0.606103722799,0.540014559852
369,eux,0.606100756164,0.0
370,governor,0.605927494596,0.25075482403
371,hath,0.605779149186,0.471535948775
372,pays,0.605681770544,0.175327372687
373,seated,0.605513365243,0.566463351846
374,sky,0.605406972932,0.429185175812
375,tua,0.605403317818,0.230206173322
376,filles,0.605343727819,0.0
377,until,0.605195718244,0.372674375214
378,monastery,0.605175586969,0.315664306441
379,singing,0.605147709487,0.431934754779
380,likely,0.605090675852,0.418056680577
381,laws,0.604990309232,0.428151270753
382,poets,0.604925533567,0.590998237364
383,formed,0.604878835426,0.159284465279
384,word,0.604858909714,0.540169983955
385,individual,0.604646448475,0.204173214405
386,reputation,0.604436619972,0.274221700229
387,rigaud,0.604372313376,0.062017066932
388,remarked,0.604361001559,0.422670589288
389,owner,0.604241149884,0.432481176551
390,went,0.604148793466,0.54908151573
